,bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_lower,categories,thumbnail,description,published_year,num_pages
10,61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,6/8/2004,iUniverse,the changeling,Fiction,http://books.google.com/books/content?id=UuALAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young woman searches for identity and redemption in this darkly magical and provocative coming-of-age story set in 14th-century Ireland. High school & older.,2005.0,339.0
11,63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala,the changeling,Fiction,http://books.google.com/books/content?id=5jE316OI8qgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,FICTION-ROMANCE/GOTHIC,1990.0,369.0
12,63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala,the changeling,Juvenile Fiction,http://books.google.com/books/content?id=bpaT5DgvTdgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Had it not been for the firm belief of two young girls that one of them was a changeling, their lives would have been very different.",2004.0,228.0
13,63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala,the changeling,Fiction,http://books.google.com/books/content?id=UuALAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young woman searches for identity and redemption in this darkly magical and provocative coming-of-age story set in 14th-century Ireland. High school & older.,2005.0,339.0
14,67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,the known world,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,388.0
15,67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,the known world,Fiction,http://books.google.com/books/content?id=NE-vsBpIuQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",2006.0,388.0
16,68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,the known world,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,388.0
17,68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,the known world,Fiction,http://books.google.com/books/content?id=NE-vsBpIuQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",2006.0,388.0
18,69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper,the known world,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,388.0
19,69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper,the known world,Fiction,http://books.google.com/books/content?id=NE-vsBpIuQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",2006.0,388.0
20,11684,The Known World,Edward P. Jones,3.83,0007195303,9780007195305,eng,388,449,83,10/1/2004,Harper Perennial,the known world,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,388.0
21,11684,The Known World,Edward P. Jones,3.83,0007195303,9780007195305,eng,388,449,83,10/1/2004,Harper Perennial,the known world,Fiction,http://books.google.com/books/content?id=NE-vsBpIuQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",2006.0,388.0
22,75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,uncommon carriers,Literary Collections,http://books.google.com/books/content?id=uOSPZhoDIuMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"McPhee's books are about real people in real places. Over the past eight years, McPhee has spent considerable time in the company of people who work in freight transportation. This is his sketchbook of them and of his journeys with them. He rides from Atl",2006.0,248.0
23,76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,heirs of general practice,Biography & Autobiography,http://books.google.com/books/content?id=kNp33i-AIq0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients",1986.0,128.0
24,77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,the control of nature,Nature,http://books.google.com/books/content?id=p1qKQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters.",1990.0,288.0
